Date,Time,Image,Answer,Result
2023-06-15,15:54:11,hair.jpg,hair.jpg,Correct
2023-06-15,15:54:12,Table.jpg,Table.jpg,Correct
2023-06-15,15:54:13,Hand.jpg,Hand.jpg,Correct
2023-06-15,15:54:14,mouth.jpg,Handrag.jpg,Incorrect
2023-06-15,15:54:15,Hamburger.jpg,Ticket.jpg,Incorrect
2023-06-15,15:54:15,Summer.jpg,Puppy.jpg,Incorrect
2023-06-15,15:54:15,Hamburger.jpg,Fireplace.jpg,Incorrect
2023-06-15,15:54:15,Hand.jpg,Scarf.jpg,Incorrect
2023-06-15,15:54:16,Cloudy.jpg,Toy Robots.jpg,Incorrect
2023-06-15,17:14:05,Ice Cream.jpg,Hangers.jpg,Incorrect
2023-06-15,17:14:06,Wolf.jpg,Wolf.jpg,Correct
2023-06-15,17:14:08,Apple.jpg,Oven.jpg,Incorrect
2023-06-15,17:14:08,Horse.jpg,Horse.jpg,Correct
2023-06-15,17:14:09,Microwave.jpg,Microwave.jpg,Correct
2023-06-15,17:14:10,Yellow.jpg,Pigeons.jpg,Incorrect
2023-06-15,17:16:20,Ticket.jpg,Ticket.jpg,Correct
2023-06-15,17:16:27,Blade.jpg,Blade.jpg,Correct
2023-06-15,17:16:28,Cliff.jpg,Rabbit.jpg,Incorrect
2023-06-15,17:16:29,Gold.jpg,Mirror.jpg,Incorrect
2023-06-15,17:16:31,Sunny.jpg,Sunny.jpg,Correct
2023-06-15,17:16:56,Gold.jpg,mouth.jpg,Incorrect
2023-06-15,17:18:04,Sunny.jpg,Sunny.jpg,Correct
2023-06-15,17:18:58,Hangers.jpg,Handwashing.jpg,Incorrect
2023-06-15,17:18:59,Tiger.jpg,Tiger.jpg,Correct
2023-06-15,17:21:11,Cashier.jpg,Cashier.jpg,Correct
2023-06-15,17:21:11,Truck.jpg,Truck.jpg,Correct
2023-06-15,17:21:12,Clothes.jpg,Cloudy.jpg,Incorrect
2023-06-15,17:23:23,Badminton.jpg,River.jpg,Incorrect
2023-06-15,17:23:24,Belt.jpg,Fridge.jpg,Incorrect
2023-06-15,17:23:26,Ship.jpg,Tomato.jpg,Incorrect
